Symbol,Open,High,Low,Close,LTP,Change,PctChange,Volume
BHARATFORG,2076.0,2076.1,2040.0,2104.9,2052.2,-52.7,-2.5,976086
MOTILALOFS,1047.0,1047.9,1008.0,1042.9,1016.0,-26.9,-2.58,501197
MANKIND,2381.4,2381.4,2350.0,2419.2,2356.5,-62.7,-2.59,282979
DIXON,14780.0,14820.0,14450.0,14850.0,14461.0,-389.0,-2.62,229903
PIDILITIND,1675.0,1675.5,1637.5,1687.7,1643.5,-44.2,-2.62,990170
BIOCON,407.15,407.95,400.35,412.0,401.05,-10.95,-2.66,2120745
INDHOTEL,728.15,728.2,710.85,737.9,718.0,-19.9,-2.7,1129170
GAIL,173.41,174.39,172.07,177.5,172.69,-4.81,-2.71,8008794
GVT&D,4400.0,4400.0,4268.8,4445.2,4324.0,-121.2,-2.73,1044144
JINDALSTEL,1175.7,1175.7,1147.0,1192.9,1160.0,-32.9,-2.76,517597
PETRONET,294.1,296.65,290.4,300.6,292.3,-8.3,-2.76,1081102
LAURUSLABS,1888.9,1895.0,1837.4,1915.0,1861.6,-53.4,-2.79,3530385
OFSS,12350.0,12353.0,11992.0,12540.0,12187.0,-353.0,-2.81,208347
SUNPHARMA,1963.1,1963.1,1921.1,1984.8,1929.0,-55.8,-2.81,3595272
MCX,3360.1,3369.0,3255.2,3400.0,3303.0,-97.0,-2.85,1505861
NMDC,86.81,87.4,85.1,88.2,85.69,-2.51,-2.85,11311468
RECLTD,318.4,318.4,313.0,323.3,314.05,-9.25,-2.86,6496998
BAJAJHLDNG,11480.0,11500.0,11282.0,11644.0,11310.0,-334.0,-2.87,44566
BOSCHLTD,49400.0,49400.0,47805.0,50000.0,48550.0,-1450.0,-2.9,53609
ASHOKLEY,176.5,176.5,168.53,175.64,170.53,-5.11,-2.91,16860146
ASIANPAINT,2645.3,2645.3,2545.2,2653.6,2575.5,-78.1,-2.94,1046523
HDFCAMC,2580.5,2580.5,2526.0,2622.1,2544.9,-77.2,-2.94,936933
MOTHERSON,170.0,170.0,163.3,170.68,165.6,-5.08,-2.98,14103203
NYKAA,347.15,347.15,337.0,349.55,338.5,-11.05,-3.16,8377806
ABB,7521.5,7524.5,7331.5,7638.5,7396.0,-242.5,-3.17,253254
DIVISLAB,9251.5,9262.5,9087.0,9467.0,9165.0,-302.0,-3.19,485620
TVSMOTOR,4341.3,4409.0,4122.0,4341.3,4203.0,-138.3,-3.19,1908970
YESBANK,22.51,22.52,21.94,22.83,22.1,-0.73,-3.2,63872649
AXISBANK,1274.9,1275.1,1255.0,1300.0,1258.0,-42.0,-3.23,5588158
POWERINDIA,33450.0,33450.0,32400.0,33760.0,32640.0,-1120.0,-3.32,100880
CGPOWER,901.95,903.55,881.6,916.0,885.5,-30.5,-3.33,2969058
KFINTECH,961.1,961.1,931.0,970.0,937.5,-32.5,-3.35,577543
INDIGO,5065.0,5106.5,5010.0,5234.0,5052.0,-182.0,-3.48,788457
INDUSTOWER,386.0,386.2,373.0,388.8,375.0,-13.8,-3.55,5558555
BHEL,437.25,437.25,423.2,442.65,426.55,-16.1,-3.64,7144021
ABCAPITAL,404.5,404.85,390.3,409.4,394.45,-14.95,-3.65,2580254
VMM,112.0,113.0,106.3,110.64,106.55,-4.09,-3.7,13963729
LTF,315.25,316.0,305.3,321.0,309.05,-11.95,-3.72,9359609
MAXHEALTH,1022.0,1022.0,1000.2,1042.1,1003.0,-39.1,-3.75,2829311
CAMS,782.95,783.0,750.25,782.0,752.0,-30.0,-3.84,1008731
PRESTIGE,1597.1,1597.1,1548.2,1633.0,1570.0,-63.0,-3.86,701659
NESTLEIND,1514.8,1514.8,1436.0,1496.5,1438.2,-58.3,-3.9,2555542
ICICIPRULI,507.0,507.0,495.0,517.05,495.45,-21.6,-4.18,2199838
MARUTI,13540.0,13540.0,12851.0,13547.0,12950.0,-597.0,-4.41,915975
SHRIRAMFIN,1099.0,1099.0,1050.6,1109.9,1059.1,-50.8,-4.58,5673585
KALYANKJIL,609.45,614.6,569.05,601.0,573.0,-28.0,-4.66,13219538
PAYTM,1689.0,1698.6,1616.3,1717.1,1633.5,-83.6,-4.87,2753126
POLYCAB,9200.0,9209.0,8871.0,9445.0,8895.5,-549.5,-5.82,653035
KEI,5575.0,5608.5,5301.5,5740.3,5348.0,-392.3,-6.83,658512
